,btc_price,btc_holdings,mstr_prc_adj,shares,debt_total_usd,rf_rate,asset_btc_usd,preferred_liq,nav_raw,nav,nav_clip,equity_value,premium,btc_per_share,is_nav_nonpositive,is_nav_tiny
2021-04-28,54846.22,91579.0,680.82,7782000.0,1754414000.0,0.0001,5022761981.38,10229353900.0,-6961005918.62,0.0,1.0,5298141240.0,22.39062188655759,0.011768054484708301,True,False
2021-04-29,53555.0,91579.0,655.01,7782000.0,1754414000.0,0.0001,4904513345.0,10229353900.0,-7079254555.0,0.0,1.0,5097287820.0,22.351974435220917,0.011768054484708301,True,False
2021-04-30,57694.27,91579.0,657.16,7782000.0,1754414000.0,0.0001,5283583552.33,10229353900.0,-6700184347.67,0.0,1.0,5114019120.0,22.355251452564772,0.011768054484708301,True,False
2021-05-01,57800.37,91579.0,657.16,7782000.0,1754414000.0,0.0001,5293300084.2300005,10229353900.0,-6690467815.7699995,0.0,1.0,5114019120.0,22.355251452564772,0.011768054484708301,True,False
2021-05-02,56578.21,91579.0,657.16,7782000.0,1754414000.0,0.0001,5181375893.59,10229353900.0,-6802392006.41,0.0,1.0,5114019120.0,22.355251452564772,0.011768054484708301,True,False
2021-05-03,57169.39,91579.0,635.62,7782000.0,1754414000.0,0.0004,5235515566.81,10229353900.0,-6748252333.19,0.0,1.0,4946394840.0,22.321924833025168,0.011768054484708301,True,False
2021-05-04,53200.01,91579.0,616.88,7782000.0,1754414000.0,0.0002,4872003715.79,10229353900.0,-7111764184.21,0.0,1.0,4800560160.0,22.29199844805134,0.011768054484708301,True,False
2021-05-05,57436.11,91579.0,623.45,7782000.0,1754414000.0,0.0002,5259941517.69,10229353900.0,-6723826382.31,0.0,1.0,4851687900.0,22.30259250196923,0.011768054484708301,True,False
2021-05-06,56393.68,91579.0,609.08,7782000.0,1754414000.0,0.0002,5164476820.72,10229353900.0,-6819291079.28,0.0,1.0,4739860560.0,22.279273554499166,0.011768054484708301,True,False
2021-05-07,57314.75,91579.0,620.46,7782000.0,1754414000.0,0.0002,5248827490.25,10229353900.0,-6734940409.75,0.0,1.0,4828419720.0,22.297785070951576,0.011768054484708301,True,False
2021-05-08,58862.05,91579.0,620.46,7782000.0,1754414000.0,0.0002,5390527676.95,10229353900.0,-6593240223.05,0.0,1.0,4828419720.0,22.297785070951576,0.011768054484708301,True,False
2021-05-09,58240.84,91579.0,620.46,7782000.0,1754414000.0,0.0002,5333637886.36,10229353900.0,-6650130013.64,0.0,1.0,4828419720.0,22.297785070951576,0.011768054484708301,True,False
2021-05-10,55816.14,91579.0,569.46,7782000.0,1754414000.0,0.0002,5111586285.06,10229353900.0,-6872181614.94,0.0,1.0,4431537720.0,22.21201247589709,0.011768054484708301,True,False
2021-05-11,56670.02,91579.0,576.96,7782000.0,1754414000.0,0.0001,5189783761.58,10229353900.0,-6793984138.42,0.0,1.0,4489902720.0,22.225096872541588,0.011768054484708301,True,False
2021-05-12,49631.32,91579.0,541.88,7782000.0,1754414000.0,0.0002,4545186654.28,10229353900.0,-7438581245.72,0.0,1.0,4216910160.0,22.162368507239172,0.011768054484708301,True,False
2021-05-13,49670.97,91850.0,488.08,7782000.0,1754414000.0,0.0002,4562278594.5,10229353900.0,-7421489305.5,0.0,1.0,3798238560.0,22.057803259370232,0.011802878437419687,True,False
